orden,Intersecciones,Lat,Lon,hin,prioridad,tamaño,color
65,Jose Vasconcelos con Bosques De Canada,25.6513911,-100.3734946,299.2085182,6,1,#c6cc14
66,Batallon De San Patricio con Diego Rivera,25.648579,-100.335053,290.9405501,6,1,#c6cc14
67,Alfonso Reyes con Priv. Campestre,25.6386587,-100.338945,289.2082224,6,1,#c6cc14
68,Morones Prieto con San Patricio,25.6701233,-100.3882295,283.4998521,6,1,#c6cc14
69,Jose Vasconcelos con Rio Lys,25.6564474,-100.3882041,275.1455191,6,1,#c6cc14
70,Jose Vasconcelos con Ricardo Margain,25.6531913,-100.3527601,270.5007394,6,1,#c6cc14
71,Jose Vasconcelos con Humberto Lobo,25.65527133,-100.3852726,269.3649808,6,1,#c6cc14
72,Gomez Morin con Calzada Del Valle,25.6531846,-100.3582344,261.1304348,6,1,#c6cc14
73,Gomez Morin con Magnolia,25.6463963,-100.3600735,258.9650991,6,1,#c6cc14
74,Jose Vasconcelos con Rio Bravo,25.6538101,-100.3812344,252.649512,6,1,#c6cc14
75,Jose Vasconcelos con Conquistadores,25.6562642,-100.3877767,248.3114463,7,1,#c6cc14
76,Calzada Del Valle con Rio Tamazunchale,25.65608956,-100.3661202,245.8136646,7,1,#c6cc14
77,Alfonso Reyes con Real San Agustin,25.638133,-100.33785,237.1396037,7,1,#c6cc14
78,Corregidora con Francisco Villa,25.672123,-100.402707,232.3842059,7,1,#c6cc14
79,Alfonso Reyes con Matamoros,25.6536038,-100.399341,230.8512274,7,1,#c6cc14
80,Diaz Ordaz con Hidalgo,25.674437,-100.419445,228.2818693,7,1,#c6cc14
81,Gomez Morin con Roble,25.650217,-100.3586787,226.6193434,7,1,#c6cc14
82,Jose Vasconcelos con San Agustin,25.6531807,-100.3460289,222.2156167,7,1,#c6cc14
83,Jose Vasconcelos con Rosales,25.6533997,-100.3506118,219.5601893,7,1,#c6cc14
84,Jose Vasconcelos con Olmos,25.6533232,-100.3550737,218.5539781,7,1,#c6cc14
85,Alfonso Reyes con Corregidora,25.6566337,-100.407889,216.0961254,7,1,#c6cc14
86,Lazaro Cardenas con Los Arcangeles,25.6586226,-100.343506,214.8358474,7,1,#c6cc14
87,Jose Vasconcelos con Gral Naranjo,25.6607114,-100.3981799,212.0434783,7,1,#c6cc14
88,Calzada Del Valle con Rio Bravo,25.65981431,-100.3791151,211.6583851,7,1,#c6cc14
89,Calzada San Pedro con Rio Volga,25.65506281,-100.3711067,211.6255546,7,1,#c6cc14
90,Real San Agustin con Montes Rocallosos,25.6519107,-100.339051,211.5696539,7,1,#c6cc14
91,Jose Vasconcelos con Zaragoza,25.6613015,-100.3999431,209.5968648,7,1,#c6cc14
92,Calzada San Pedro con Rio Amazonas,25.66150976,-100.3688396,207.7491866,7,1,#c6cc14
93,Alfonso Reyes con Rio Akumal,25.6390177,-100.356325,207.4055013,7,1,#c6cc14
94,Alfonso Reyes con Gomez Morin,25.6400588,-100.36181,206.0470275,7,1,#c6cc14
95,Santa Barbara con Callejon De Los Ayala,25.66388592,-100.3910848,198.0073943,8,1,#c6cc14
96,Corregidora con Manuel J. Clouthier,25.677965,-100.402316,195.9650991,8,1,#c6cc14
97,Jose Vasconcelos con Matamoros,25.6601039,-100.3963868,195.7982845,8,1,#c6cc14
98,Jose Vasconcelos con Guillermo Prieto,25.6588549,-100.3928269,195.7471162,8,1,#c6cc14
99,Eugenio Garza Laguera con Jesus Reyes Fereyra,25.64197483,-100.3239866,194.2969536,8,1,#c6cc14
100,Jose Vasconcelos con Bosques Del Valle,25.65143575,-100.3757474,190.9035788,8,1,#c6cc14
101,Morones Prieto con Udem,25.66562164,-100.4197453,190.0967169,8,1,#c6cc14
102,Ricardo Margain con Eucalipto,25.6525481,-100.3527744,188.4779651,8,1,#c6cc14
103,Corregidora con Callejon De Los Arizpe,25.668185,-100.403089,188.1632653,8,1,#c6cc14
104,Jose Vasconcelos con Rio Rosas,25.65242776,-100.3614216,187.8370305,8,1,#c6cc14
105,Rio Tamazunchale con Rio Volga,25.653852,-100.366902,185.9171843,8,1,#c6cc14
106,Eugenio Garza Laguera con Batallon De San Patricio,25.64345432,-100.3324125,185.170068,8,1,#c6cc14
107,Enrique Garcia Leal con Zinc,25.6789422,-100.413746,184.3315587,8,1,#c6cc14
108,Gomez Morin con Rio Missouri,25.6589394,-100.3561615,183.7962141,8,1,#c6cc14
109,Lazaro Cardenas con David A. Siqueiros,25.6430298,-100.320259,180.5871044,8,1,#c6cc14
110,Calzada Del Valle con Rio Tamesis,25.66043254,-100.3812499,178.805383,8,1,#c6cc14
111,Rio Mississippi con Rio Grijalva,25.659113,-100.368151,173.7367643,8,1,#c6cc14
112,Alfonso Reyes con Genaro Garza Garcia,25.653936,-100.40022,172.5341615,8,1,#c6cc14
113,Alfonso Reyes con Neil Armstrong,25.6512606,-100.392396,168.681751,8,1,#c6cc14
114,Alfonso Reyes con Jeronimo Siller,25.641176,-100.369308,167.2863058,8,1,#c6cc14
115,Lazaro Cardenas con Ricardo Margain,25.662231,-100.352557,165.3620231,8,1,#c6cc14
116,Manuel J. Clouthier con Oro,25.6808695,-100.4167181,161.845312,8,1,#c6cc14
117,Jose Vasconcelos con Degollado,25.6579477,-100.3911347,161.5320911,8,1,#c6cc14
118,Alfonso Reyes con Las Sendas,25.6573628,-100.410073,161.4333038,8,1,#c6cc14
119,Jose Vasconcelos con Genaro Garza Garcia,25.660406,-100.3972882,161.0629991,8,1,#c6cc14
120,Jose Vasconcelos con Juan I. Ramon,25.6594845,-100.3946049,160.3330376,8,1,#c6cc14
121,Jose Vasconcelos con Corregidora,25.663104,-100.4052327,159.9914227,8,1,#c6cc14
122,Benito Juarez con Reforma,25.6641073,-100.4027884,155.0822242,8,1,#c6cc14
123,Alfonso Reyes con Lomas Del Valle,25.645636,-100.380249,154.3374741,8,1,#c6cc14
124,Jose Vasconcelos con Los Aldama,25.6628138,-100.4043582,153.9370009,8,1,#c6cc14
125,Jose Vasconcelos con Rio Sena,25.6520527,-100.3647066,151.6779059,8,1,#c6cc14
126,Jose Vasconcelos con Guerrero,25.6619297,-100.4017379,149.3093759,9,1,#c6cc14
127,Jose Vasconcelos con Morelos,25.6622271,-100.4026299,148.8985507,9,1,#c6cc14
128,Santa Barbara con Santa Monica,25.66872391,-100.3849967,148.8811003,9,1,#c6cc14
129,Humberto Lobo con Rio Orinoco,25.66440275,-100.3814622,148.6199349,9,1,#c6cc14
130,Jose Vasconcelos con Manuel Gonzalez,25.6616236,-100.4008434,147.2274475,9,1,#c6cc14
131,Las Torres con Oro,25.6802257,-100.4169206,147.1357587,9,1,#c6cc14
132,L. Garza Ayala con Diego Saldivar,25.6646545,-100.4125886,145.5847382,9,1,#c6cc14
133,Rio Suchiate con Rio Sena,25.6538639,-100.3788233,145.502514,9,1,#c6cc14
134,Jimenez con Las Palmas,25.65910193,-100.4109356,144.2901508,9,1,#c6cc14
135,Gomez Morin con Priv. Encinos,25.6377431,-100.3625238,144.1381248,9,1,#c6cc14
136,Roberto Garza Sada con Sierra Azul,25.6381464,-100.37984,144.0405206,9,1,#c6cc14
137,Morones Prieto con Santa Catarina,25.6711663,-100.3954182,143.8778468,9,1,#c6cc14
138,Calzada Del Valle con La Alianza,25.6537886,-100.3593212,143.6113576,9,1,#c6cc14
139,Humberto Lobo con Rio Elba,25.65669447,-100.3847443,143.5776398,9,1,#c6cc14
140,Rio Rosas con Rio Guadalquivir,25.659238,-100.359073,143.4436557,9,1,#c6cc14
141,Corregidora con 16 De Sep.,25.660678,-100.406228,142.0118308,9,1,#c6cc14
142,Roberto Garza Sada con Alejandrina,25.6398302,-100.3857,140.4782609,9,1,#c6cc14
143,Calzada Del Valle con Rio Moctezuma,25.65524999,-100.3632643,137.4060929,9,1,#c6cc14
144,Real San Agustin con Batallon De San Patricio,25.647961,-100.339515,137.2540668,9,1,#c6cc14
145,Alfonso Reyes con Jimenez,25.6577335,-100.411452,135.971606,9,1,#c6cc14
146,Santa Barbara con Porfirio Diaz,25.66001831,-100.3933659,133.2795031,9,1,#c6cc14
147,Jose Vasconcelos con Rio Tamesis,25.6547355,-100.3832654,132.2416445,9,1,#c6cc14
148,Batallon De San Patricio con Maria Izquierdo,25.647349,-100.332751,132.1641526,9,1,#c6cc14
149,Alfonso Reyes con Las Olimpiadas,25.64806,-100.386097,126.9636202,9,1,#c6cc14
150,Lazaro Cardenas con Casolar,25.6511431,-100.332534,125.8089323,9,1,#c6cc14
151,Jose Vasconcelos con Sabino,25.6530879,-100.3558104,124.7695948,9,1,#c6cc14
152,Jose Vasconcelos con Plutarco Elias Calles,25.6537106,-100.3810531,121.6897368,9,1,#c6cc14
153,Jose Vasconcelos con Priv. Jesus Mata,25.6559031,-100.3868943,120.9618456,9,1,#c6cc14
154,Corregidora con Enrique Garcia Leal,25.677554,-100.402536,118.5598935,9,1,#c6cc14
155,Alfonso Reyes con Dublin Poniente,25.6424746,-100.349255,118.3448684,9,1,#c6cc14
156,Morones Prieto con Libertad,25.66697122,-100.4078492,118.2398699,9,1,#c6cc14
157,Roberto Garza Sada con Lomas Del Valle,25.6389381,-100.382605,118.2058563,9,1,#c6cc14
158,Alfonso Reyes con Lopez Mateos,25.6406781,-100.365739,118.1969831,9,1,#c6cc14
159,Calzada Del Valle con Rio Rosas,25.65452509,-100.3607191,117.9012127,9,1,#c6cc14
160,Jose Vasconcelos con Rio Balsas,25.6518279,-100.3768564,116.1523218,9,1,#c6cc14
161,Jimenez con 5 De Mayo,25.66108266,-100.4101147,115.2552499,9,1,#c6cc14
162,Santa Barbara con Callejon De Los Arizpe,25.66226798,-100.3920303,114.3007986,9,1,#c6cc14
163,Alfonso Reyes con Guillermo Prieto,25.6524647,-100.395754,113.7432712,9,1,#c6cc14
164,Rio Orinoco con Rio Tamazunchale,25.65928364,-100.3649872,112.2688554,9,1,#c6cc14
165,Alfonso Reyes con Dublin Oriente,25.6421565,-100.34798,111.8695652,9,1,#c6cc14
166,Rio Missouri con Olivos,25.658311,-100.353997,111.4708666,9,1,#c6cc14
167,Alfonso Reyes con Bosques Del Valle,25.6422314,-100.372958,110.6214138,9,1,#c6cc14
168,Humberto Lobo con Rio Sena,25.65612982,-100.3849411,109.6805679,9,1,#c6cc14
169,Jose Vasconcelos con Calzada San Pedro,25.65151366,-100.3715025,108.9565217,9,1,#c6cc14
